Muscle_Group,Equipment,Exercise,Description,,,,,,,,,,,,,,muscle_group_id,muscle_group,,equipment_id,equipment,,,id,muscle_group_id,equipment_id,name,description
Biceps,Cables,Cable Seated Bayesian Hammer Curl,A seated neutral-grip curl variation maintaining constant tension.,,"('Biceps', 'Cables', 'Cable Seated Bayesian Hammer Curl', 'A seated neutral-grip curl variation maintaining constant tension.'),",,,,,,,,,,,,,,,,,,,119,2,3,Cable Seated Bayesian Hammer Curl,A seated neutral-grip curl variation maintaining constant tension.
Biceps,Cables,Cable Seated Bayesian Reverse Curl,A seated pronated-grip curl variation maintaining constant tension.,,"('Biceps', 'Cables', 'Cable Seated Bayesian Reverse Curl', 'A seated pronated-grip curl variation maintaining constant tension.'),",,,,,,,,,,,,,,,,,,,120,2,3,Cable Seated Bayesian Reverse Curl,A seated pronated-grip curl variation maintaining constant tension.
Biceps,Cables,Cable Single Arm Bayesian Curl,A unilateral curl variation maintaining constant tension via cable positioning.,,"('Biceps', 'Cables', 'Cable Single Arm Bayesian Curl', 'A unilateral curl variation maintaining constant tension via cable positioning.'),",,,,,,,,,,,,,,,,,,,121,2,3,Cable Single Arm Bayesian Curl,A unilateral curl variation maintaining constant tension via cable positioning.
Biceps,Cables,Cable Single Arm Hammer Curl,A unilateral curl using neutral grip on cable machine.,,"('Biceps', 'Cables', 'Cable Single Arm Hammer Curl', 'A unilateral curl using neutral grip on cable machine.'),",,,,,,,,,,,,,,,,,,,122,2,3,Cable Single Arm Hammer Curl,A unilateral curl using neutral grip on cable machine.
Biceps,Cables,Cable Single Arm Reverse Curl,A unilateral curl using pronated grip on cable machine.,,"('Biceps', 'Cables', 'Cable Single Arm Reverse Curl', 'A unilateral curl using pronated grip on cable machine.'),",,,,,,,,,,,,,,,,,,,123,2,3,Cable Single Arm Reverse Curl,A unilateral curl using pronated grip on cable machine.
Biceps,Cables,Cable Twisting Curl,A curl with forearm rotation from pronated to supinated grip during movement.,,"('Biceps', 'Cables', 'Cable Twisting Curl', 'A curl with forearm rotation from pronated to supinated grip during movement.'),",,,,,,,,,,,,,,,,,,,124,2,3,Cable Twisting Curl,A curl with forearm rotation from pronated to supinated grip during movement.
Biceps,Dumbbells,Dumbbell Concentration Curl,A seated single-arm curl with elbow braced against inner thigh for isolation.,,"('Biceps', 'Dumbbells', 'Dumbbell Concentration Curl', 'A seated single-arm curl with elbow braced against inner thigh for isolation.'),",,,,,,,,,,,,,,,,,,,125,2,4,Dumbbell Concentration Curl,A seated single-arm curl with elbow braced against inner thigh for isolation.
Biceps,Dumbbells,Dumbbell Curl,A standing exercise curling dumbbells from extended arms position to shoulders.,,"('Biceps', 'Dumbbells', 'Dumbbell Curl', 'A standing exercise curling dumbbells from extended arms position to shoulders.'),",,,,,,,,,,,,,,,,,,,126,2,4,Dumbbell Curl,A standing exercise curling dumbbells from extended arms position to shoulders.
Biceps,Dumbbells,Dumbbell Hammer Curl,A curl using neutral grip (thumbs up) to target biceps and brachialis.,,"('Biceps', 'Dumbbells', 'Dumbbell Hammer Curl', 'A curl using neutral grip (thumbs up) to target biceps and brachialis.'),",,,,,,,,,,,,,,,,,,,127,2,4,Dumbbell Hammer Curl,A curl using neutral grip (thumbs up) to target biceps and brachialis.
Biceps,Dumbbells,Dumbbell Incline Hammer Curl,A hammer curl performed on an inclined bench for increased stretch.,,"('Biceps', 'Dumbbells', 'Dumbbell Incline Hammer Curl', 'A hammer curl performed on an inclined bench for increased stretch.'),",,,,,,,,,,,,,,,,,,,128,2,4,Dumbbell Incline Hammer Curl,A hammer curl performed on an inclined bench for increased stretch.
Biceps,Dumbbells,Dumbbell Incline Reverse Curl,A pronated-grip curl performed on an inclined bench for increased stretch.,,"('Biceps', 'Dumbbells', 'Dumbbell Incline Reverse Curl', 'A pronated-grip curl performed on an inclined bench for increased stretch.'),",,,,,,,,,,,,,,,,,,,129,2,4,Dumbbell Incline Reverse Curl,A pronated-grip curl performed on an inclined bench for increased stretch.
Biceps,Dumbbells,Dumbbell Incline Zottman Curl,A curl on incline bench with rotation from supinated to pronated grip at top.,,"('Biceps', 'Dumbbells', 'Dumbbell Incline Zottman Curl', 'A curl on incline bench with rotation from supinated to pronated grip at top.'),",,,,,,,,,,,,,,,,,,,130,2,4,Dumbbell Incline Zottman Curl,A curl on incline bench with rotation from supinated to pronated grip at top.
Biceps,Dumbbells,Dumbbell Preacher Curl,A supported curl using dumbbells on preacher bench to isolate biceps.,,"('Biceps', 'Dumbbells', 'Dumbbell Preacher Curl', 'A supported curl using dumbbells on preacher bench to isolate biceps.'),",,,,,,,,,,,,,,,,,,,131,2,4,Dumbbell Preacher Curl,A supported curl using dumbbells on preacher bench to isolate biceps.
Biceps,Dumbbells,Dumbbell Reverse Curl,A curl using pronated (overhand) grip to target brachialis and forearms.,,"('Biceps', 'Dumbbells', 'Dumbbell Reverse Curl', 'A curl using pronated (overhand) grip to target brachialis and forearms.'),",,,,,,,,,,,,,,,,,,,132,2,4,Dumbbell Reverse Curl,A curl using pronated (overhand) grip to target brachialis and forearms.
Biceps,Dumbbells,Dumbbell Single Arm Preacher Curl,A unilateral supported curl using preacher bench for isolation.,,"('Biceps', 'Dumbbells', 'Dumbbell Single Arm Preacher Curl', 'A unilateral supported curl using preacher bench for isolation.'),",,,,,,,,,,,,,,,,,,,133,2,4,Dumbbell Single Arm Preacher Curl,A unilateral supported curl using preacher bench for isolation.
Biceps,Dumbbells,Dumbbell Single Arm Spider Curl,A unilateral curl performed lying chest-down on incline bench.,,"('Biceps', 'Dumbbells', 'Dumbbell Single Arm Spider Curl', 'A unilateral curl performed lying chest-down on incline bench.'),",,,,,,,,,,,,,,,,,,,134,2,4,Dumbbell Single Arm Spider Curl,A unilateral curl performed lying chest-down on incline bench.
Biceps,Dumbbells,Dumbbell Spider Curl,A curl performed lying chest-down on incline bench for increased isolation.,,"('Biceps', 'Dumbbells', 'Dumbbell Spider Curl', 'A curl performed lying chest-down on incline bench for increased isolation.'),",,,,,,,,,,,,,,,,,,,135,2,4,Dumbbell Spider Curl,A curl performed lying chest-down on incline bench for increased isolation.
Biceps,Dumbbells,Dumbbell Twisting Curl,A curl with forearm rotation from pronated to supinated grip during movement.,,"('Biceps', 'Dumbbells', 'Dumbbell Twisting Curl', 'A curl with forearm rotation from pronated to supinated grip during movement.'),",,,,,,,,,,,,,,,,,,,136,2,4,Dumbbell Twisting Curl,A curl with forearm rotation from pronated to supinated grip during movement.
Biceps,Machine,Machine Assisted Chin Up,A chin-up with partial machine support to build pulling strength.,,"('Biceps', 'Machine', 'Machine Assisted Chin Up', 'A chin-up with partial machine support to build pulling strength.'),",,,,,,,,,,,,,,,,,,,137,2,5,Machine Assisted Chin Up,A chin-up with partial machine support to build pulling strength.
Biceps,Machine,Machine Assisted Narrow Pull Up,A close-grip pull-up with machine assistance to target inner back and biceps.,,"('Biceps', 'Machine', 'Machine Assisted Narrow Pull Up', 'A close-grip pull-up with machine assistance to target inner back and biceps.'),",,,,,,,,,,,,,,,,,,,138,2,5,Machine Assisted Narrow Pull Up,A close-grip pull-up with machine assistance to target inner back and biceps.
Biceps,Machine,Machine Assisted Neutral Chin Up,A neutral-grip pull-up with machine assistance.,,"('Biceps', 'Machine', 'Machine Assisted Neutral Chin Up', 'A neutral-grip pull-up with machine assistance.'),",,,,,,,,,,,,,,,,,,,139,2,5,Machine Assisted Neutral Chin Up,A neutral-grip pull-up with machine assistance.
Biceps,Machine,Machine Assisted Pull Up,A pull-up with partial machine support to build pulling strength.,,"('Biceps', 'Machine', 'Machine Assisted Pull Up', 'A pull-up with partial machine support to build pulling strength.'),",,,,,,,,,,,,,,,,,,,140,2,5,Machine Assisted Pull Up,A pull-up with partial machine support to build pulling strength.
Biceps,Smith Machine,Smith Machine Drag Curl,A curl variation keeping elbows back and bar close to body using Smith machine.,,"('Biceps', 'Smith Machine', 'Smith Machine Drag Curl', 'A curl variation keeping elbows back and bar close to body using Smith machine.'),",,,,,,,,,,,,,,,,,,,141,2,6,Smith Machine Drag Curl,A curl variation keeping elbows back and bar close to body using Smith machine.
Upper_Back,Barbell,Barbell Bent Over Row,A compound pulling exercise bending at hips and pulling barbell to lower chest.,,"('Upper_Back', 'Barbell', 'Barbell Bent Over Row', 'A compound pulling exercise bending at hips and pulling barbell to lower chest.'),",,,,,,,,,,,,,,,,,,,142,3,1,Barbell Bent Over Row,A compound pulling exercise bending at hips and pulling barbell to lower chest.
Upper_Back,Barbell,Barbell Landmine Row,A row variation using landmine setup for easier body positioning.,,"('Upper_Back', 'Barbell', 'Barbell Landmine Row', 'A row variation using landmine setup for easier body positioning.'),",,,,,,,,,,,,,,,,,,,143,3,1,Barbell Landmine Row,A row variation using landmine setup for easier body positioning.
Upper_Back,Barbell,Barbell Long Landmine Row,A landmine row with wider stance for greater range of motion.,,"('Upper_Back', 'Barbell', 'Barbell Long Landmine Row', 'A landmine row with wider stance for greater range of motion.'),",,,,,,,,,,,,,,,,,,,144,3,1,Barbell Long Landmine Row,A landmine row with wider stance for greater range of motion.
Upper_Back,Barbell,Barbell Meadows Row,A unilateral row variation targeting upper back with specialized positioning.,,"('Upper_Back', 'Barbell', 'Barbell Meadows Row', 'A unilateral row variation targeting upper back with specialized positioning.'),",,,,,,,,,,,,,,,,,,,145,3,1,Barbell Meadows Row,A unilateral row variation targeting upper back with specialized positioning.
Upper_Back,Barbell,Barbell Pronated Pendlay Row,An explosive row from floor using overhand grip and horizontal torso.,,"('Upper_Back', 'Barbell', 'Barbell Pronated Pendlay Row', 'An explosive row from floor using overhand grip and horizontal torso.'),",,,,,,,,,,,,,,,,,,,146,3,1,Barbell Pronated Pendlay Row,An explosive row from floor using overhand grip and horizontal torso.
Upper_Back,Barbell,Barbell Pronated Row,A bent-over row using overhand grip to target upper back.,,"('Upper_Back', 'Barbell', 'Barbell Pronated Row', 'A bent-over row using overhand grip to target upper back.'),",,,,,,,,,,,,,,,,,,,147,3,1,Barbell Pronated Row,A bent-over row using overhand grip to target upper back.
Upper_Back,Barbell,Barbell Supinated Pendlay Row,An explosive row from floor using underhand grip and horizontal torso.,,"('Upper_Back', 'Barbell', 'Barbell Supinated Pendlay Row', 'An explosive row from floor using underhand grip and horizontal torso.'),",,,,,,,,,,,,,,,,,,,148,3,1,Barbell Supinated Pendlay Row,An explosive row from floor using underhand grip and horizontal torso.
Upper_Back,Barbell,Barbell Supinated Row,A bent-over row using underhand grip to emphasize lower lats and biceps.,,"('Upper_Back', 'Barbell', 'Barbell Supinated Row', 'A bent-over row using underhand grip to emphasize lower lats and biceps.'),",,,,,,,,,,,,,,,,,,,149,3,1,Barbell Supinated Row,A bent-over row using underhand grip to emphasize lower lats and biceps.
Upper_Back,Barbell,Landmine T Bar Rows,A row using landmine setup with close grip to target mid-back.,,"('Upper_Back', 'Barbell', 'Landmine T Bar Rows', 'A row using landmine setup with close grip to target mid-back.'),",,,,,,,,,,,,,,,,,,,150,3,1,Landmine T Bar Rows,A row using landmine setup with close grip to target mid-back.
Upper_Back,Cables,Cable Archer Row,A unilateral row mimicking archery movement for rotational back development.,,"('Upper_Back', 'Cables', 'Cable Archer Row', 'A unilateral row mimicking archery movement for rotational back development.'),",,,,,,,,,,,,,,,,,,,151,3,3,Cable Archer Row,A unilateral row mimicking archery movement for rotational back development.
Upper_Back,Cables,Cable Pull In,A cable exercise pulling toward center of body to target lats and core.,,"('Upper_Back', 'Cables', 'Cable Pull In', 'A cable exercise pulling toward center of body to target lats and core.'),",,,,,,,,,,,,,,,,,,,152,3,3,Cable Pull In,A cable exercise pulling toward center of body to target lats and core.
Upper_Back,Cables,Cable Single Arm Neutral Grip Row,A unilateral row using neutral grip handle for balanced back development.,,"('Upper_Back', 'Cables', 'Cable Single Arm Neutral Grip Row', 'A unilateral row using neutral grip handle for balanced back development.'),",,,,,,,,,,,,,,,,,,,153,3,3,Cable Single Arm Neutral Grip Row,A unilateral row using neutral grip handle for balanced back development.
Upper_Back,Cables,Cable Single Arm Underhand Grip Row,A unilateral row using underhand grip to emphasize lower lats.,,"('Upper_Back', 'Cables', 'Cable Single Arm Underhand Grip Row', 'A unilateral row using underhand grip to emphasize lower lats.'),",,,,,,,,,,,,,,,,,,,154,3,3,Cable Single Arm Underhand Grip Row,A unilateral row using underhand grip to emphasize lower lats.
Upper_Back,Cables,Cable Supinating Row,A row with forearm rotation from pronated to supinated grip during movement.,,"('Upper_Back', 'Cables', 'Cable Supinating Row', 'A row with forearm rotation from pronated to supinated grip during movement.'),",,,,,,,,,,,,,,,,,,,155,3,3,Cable Supinating Row,A row with forearm rotation from pronated to supinated grip during movement.
Upper_Back,Cables,Cable Single Arm Row Bar Standing Row,A unilateral row using straight bar attachment for back development.,,"('Upper_Back', 'Cables', 'Cable Single Arm Row Bar Standing Row', 'A unilateral row using straight bar attachment for back development.'),",,,,,,,,,,,,,,,,,,,156,3,3,Cable Single Arm Row Bar Standing Row,A unilateral row using straight bar attachment for back development.
Upper_Back,Cables,Cable Row Bar Standing Row,A bilateral standing row using straight bar attachment.,,"('Upper_Back', 'Cables', 'Cable Row Bar Standing Row', 'A bilateral standing row using straight bar attachment.'),",,,,,,,,,,,,,,,,,,,157,3,3,Cable Row Bar Standing Row,A bilateral standing row using straight bar attachment.
Upper_Back,Machine,Machine Seated Cable Row,A seated horizontal pulling exercise using cable resistance.,,"('Upper_Back', 'Machine', 'Machine Seated Cable Row', 'A seated horizontal pulling exercise using cable resistance.'),",,,,,,,,,,,,,,,,,,,158,3,5,Machine Seated Cable Row,A seated horizontal pulling exercise using cable resistance.
Upper_Back,Machine,Machine Underhand Row,A seated row using underhand grip to emphasize lower lats and biceps.,,"('Upper_Back', 'Machine', 'Machine Underhand Row', 'A seated row using underhand grip to emphasize lower lats and biceps.'),",,,,,,,,,,,,,,,,,,,159,3,5,Machine Underhand Row,A seated row using underhand grip to emphasize lower lats and biceps.
Upper_Back,Machine,Machine Neutral Row,A seated row using neutral grip to target mid-back and biceps.,,"('Upper_Back', 'Machine', 'Machine Neutral Row', 'A seated row using neutral grip to target mid-back and biceps.'),",,,,,,,,,,,,,,,,,,,160,3,5,Machine Neutral Row,A seated row using neutral grip to target mid-back and biceps.
Upper_Back,Machine,Machine Pulldown,A vertical pulling exercise targeting latissimus dorsi muscles.,,"('Upper_Back', 'Machine', 'Machine Pulldown', 'A vertical pulling exercise targeting latissimus dorsi muscles.'),",,,,,,,,,,,,,,,,,,,161,3,5,Machine Pulldown,A vertical pulling exercise targeting latissimus dorsi muscles.
Upper_Back,Machine,Narrow Pulldown,A lat pulldown using close grip to target inner back muscles.,,"('Upper_Back', 'Machine', 'Narrow Pulldown', 'A lat pulldown using close grip to target inner back muscles.'),",,,,,,,,,,,,,,,,,,,162,3,5,Narrow Pulldown,A lat pulldown using close grip to target inner back muscles.
Upper_Back,Machine,Neutral Pulldown,A lat pulldown using neutral grip to target balanced back development.,,"('Upper_Back', 'Machine', 'Neutral Pulldown', 'A lat pulldown using neutral grip to target balanced back development.'),",,,,,,,,,,,,,,,,,,,163,3,5,Neutral Pulldown,A lat pulldown using neutral grip to target balanced back development.
Upper_Back,Machine,Underhand Pulldown,A lat pulldown using underhand grip to emphasize lower lats and biceps.,,"('Upper_Back', 'Machine', 'Underhand Pulldown', 'A lat pulldown using underhand grip to emphasize lower lats and biceps.'),",,,,,,,,,,,,,,,,,,,164,3,5,Underhand Pulldown,A lat pulldown using underhand grip to emphasize lower lats and biceps.
Upper_Back,Machine,Stretcher,A machine-assisted stretch for lats and shoulder mobility.,,"('Upper_Back', 'Machine', 'Stretcher', 'A machine-assisted stretch for lats and shoulder mobility.'),",,,,,,,,,,,,,,,,,,,165,3,5,Stretcher,A machine-assisted stretch for lats and shoulder mobility.
Upper_Back,Cables,Cable Bent Over Bar Pullover,A bent-over variation of pullover using cable for consistent tension.,,"('Upper_Back', 'Cables', 'Cable Bent Over Bar Pullover', 'A bent-over variation of pullover using cable for consistent tension.'),",,,,,,,,,,,,,,,,,,,166,3,3,Cable Bent Over Bar Pullover,A bent-over variation of pullover using cable for consistent tension.
Upper_Back,Cables,Cable Lat Prayer,A kneeling pulldown variation with hands in prayer position targeting lats.,,"('Upper_Back', 'Cables', 'Cable Lat Prayer', 'A kneeling pulldown variation with hands in prayer position targeting lats.'),",,,,,,,,,,,,,,,,,,,167,3,3,Cable Lat Prayer,A kneeling pulldown variation with hands in prayer position targeting lats.
Upper_Back,Cables,Cable Rope Lat Prayer,A kneeling pulldown using rope attachment with hands in prayer position.,,"('Upper_Back', 'Cables', 'Cable Rope Lat Prayer', 'A kneeling pulldown using rope attachment with hands in prayer position.'),",,,,,,,,,,,,,,,,,,,168,3,3,Cable Rope Lat Prayer,A kneeling pulldown using rope attachment with hands in prayer position.
Upper_Back,Cables,Cable Rope Pullover,A pullover exercise using rope attachment for greater range of motion.,,"('Upper_Back', 'Cables', 'Cable Rope Pullover', 'A pullover exercise using rope attachment for greater range of motion.'),",,,,,,,,,,,,,,,,,,,169,3,3,Cable Rope Pullover,A pullover exercise using rope attachment for greater range of motion.
Upper_Back,Cables,Cable Straight Arm Pull In,A standing pullover exercise with straight arms for lat isolation.,,"('Upper_Back', 'Cables', 'Cable Straight Arm Pull In', 'A standing pullover exercise with straight arms for lat isolation.'),",,,,,,,,,,,,,,,,,,,170,3,3,Cable Straight Arm Pull In,A standing pullover exercise with straight arms for lat isolation.
Upper_Back,Dumbbells,Dumbbell Pullover,A supine exercise moving dumbbell in arc over face to target lats and serratus.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Pullover', 'A supine exercise moving dumbbell in arc over face to target lats and serratus.'),",,,,,,,,,,,,,,,,,,,171,3,4,Dumbbell Pullover,A supine exercise moving dumbbell in arc over face to target lats and serratus.
Upper_Back,Dumbbells,Dumbbell Shoulder Extension,A prone exercise moving arms from overhead to sides targeting posterior shoulder and lats.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Shoulder Extension', 'A prone exercise moving arms from overhead to sides targeting posterior shoulder and lats.'),",,,,,,,,,,,,,,,,,,,172,3,4,Dumbbell Shoulder Extension,A prone exercise moving arms from overhead to sides targeting posterior shoulder and lats.
Upper_Back,Dumbbells,Dumbbell Alternating Pendlay Row,A unilateral explosive row from floor alternating arms.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Alternating Pendlay Row', 'A unilateral explosive row from floor alternating arms.'),",,,,,,,,,,,,,,,,,,,173,3,4,Dumbbell Alternating Pendlay Row,A unilateral explosive row from floor alternating arms.
Upper_Back,Dumbbells,Dumbbell Knee Lawnmower Row,A unilateral row with knee supported on bench mimicking lawnmower pulling motion.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Knee Lawnmower Row', 'A unilateral row with knee supported on bench mimicking lawnmower pulling motion.'),",,,,,,,,,,,,,,,,,,,174,3,4,Dumbbell Knee Lawnmower Row,A unilateral row with knee supported on bench mimicking lawnmower pulling motion.
Upper_Back,Dumbbells,Dumbbell Kneeling Single Arm Row,A unilateral row in half-kneeling position for stability.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Kneeling Single Arm Row', 'A unilateral row in half-kneeling position for stability.'),",,,,,,,,,,,,,,,,,,,175,3,4,Dumbbell Kneeling Single Arm Row,A unilateral row in half-kneeling position for stability.
Upper_Back,Dumbbells,Dumbbell Laying Incline Row,A prone row on incline bench for increased range of motion.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Laying Incline Row', 'A prone row on incline bench for increased range of motion.'),",,,,,,,,,,,,,,,,,,,176,3,4,Dumbbell Laying Incline Row,A prone row on incline bench for increased range of motion.
Upper_Back,Dumbbells,Dumbbell Pendlay Row,An explosive row from floor using dumbbells and horizontal torso.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Pendlay Row', 'An explosive row from floor using dumbbells and horizontal torso.'),",,,,,,,,,,,,,,,,,,,177,3,4,Dumbbell Pendlay Row,An explosive row from floor using dumbbells and horizontal torso.
Upper_Back,Dumbbells,Dumbbell Single Arm Row,A unilateral bent-over row supporting body with opposite arm.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Single Arm Row', 'A unilateral bent-over row supporting body with opposite arm.'),",,,,,,,,,,,,,,,,,,,179,3,4,Dumbbell Single Arm Row,A unilateral bent-over row supporting body with opposite arm.
Upper_Back,Dumbbells,Dumbbell Single Arm Row Knee,A unilateral row supporting body with knee and opposite arm on bench.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Single Arm Row Knee', 'A unilateral row supporting body with knee and opposite arm on bench.'),",,,,,,,,,,,,,,,,,,,180,3,4,Dumbbell Single Arm Row Knee,A unilateral row supporting body with knee and opposite arm on bench.
Upper_Back,Dumbbells,Dumbbell Supinated Row,A row using underhand grip to emphasize lower lats and biceps.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Supinated Row', 'A row using underhand grip to emphasize lower lats and biceps.'),",,,,,,,,,,,,,,,,,,,181,3,4,Dumbbell Supinated Row,A row using underhand grip to emphasize lower lats and biceps.
Upper_Back,Dumbbells,Lawnmower Row,A unilateral row mimicking lawnmower pulling motion for functional back strength.,,"('Upper_Back', 'Dumbbells', 'Lawnmower Row', 'A unilateral row mimicking lawnmower pulling motion for functional back strength.'),",,,,,,,,,,,,,,,,,,,182,3,4,Lawnmower Row,A unilateral row mimicking lawnmower pulling motion for functional back strength.
Upper_Back,Dumbbells,Dumbbell Rear Delt Row,A row with elbows flared to target posterior deltoids and upper back.,,"('Upper_Back', 'Dumbbells', 'Dumbbell Rear Delt Row', 'A row with elbows flared to target posterior deltoids and upper back.'),",,,,,,,,,,,,,,,,,,,183,3,4,Dumbbell Rear Delt Row,A row with elbows flared to target posterior deltoids and upper back.
Upper_Back,Smith Machine,Smith Machine Overhand Row,A bent-over row using Smith machine with pronated grip.,,"('Upper_Back', 'Smith Machine', 'Smith Machine Overhand Row', 'A bent-over row using Smith machine with pronated grip.'),",,,,,,,,,,,,,,,,,,,184,3,6,Smith Machine Overhand Row,A bent-over row using Smith machine with pronated grip.
Upper_Back,Smith Machine,Smith Machine Underhand Row,A bent-over row using Smith machine with supinated grip.,,"('Upper_Back', 'Smith Machine', 'Smith Machine Underhand Row', 'A bent-over row using Smith machine with supinated grip.'),",,,,,,,,,,,,,,,,,,,185,3,6,Smith Machine Underhand Row,A bent-over row using Smith machine with supinated grip.
Upper_Back,Smith Machine,Smith Machine Assisted Pullup,A pull-up with feet supported on Smith machine bar.,,"('Upper_Back', 'Smith Machine', 'Smith Machine Assisted Pullup', 'A pull-up with feet supported on Smith machine bar.'),",,,,,,,,,,,,,,,,,,,186,3,6,Smith Machine Assisted Pullup,A pull-up with feet supported on Smith machine bar.
Upper_Back,Smith Machine,Smith Machine Inverted Row,A horizontal pulling exercise using fixed Smith machine bar.,,"('Upper_Back', 'Smith Machine', 'Smith Machine Inverted Row', 'A horizontal pulling exercise using fixed Smith machine bar.'),",,,,,,,,,,,,,,,,,,,187,3,6,Smith Machine Inverted Row,A horizontal pulling exercise using fixed Smith machine bar.
Calves,Barbell,Barbell Calf Jump,An explosive calf exercise combining calf raise with jump while holding barbell.,,"('Calves', 'Barbell', 'Barbell Calf Jump', 'An explosive calf exercise combining calf raise with jump while holding barbell.'),",,,,,,,,,,,,,,,,,,,188,4,1,Barbell Calf Jump,An explosive calf exercise combining calf raise with jump while holding barbell.
Calves,Barbell,Barbell Calf Raises,A standing exercise lifting heels with barbell across shoulders.,,"('Calves', 'Barbell', 'Barbell Calf Raises', 'A standing exercise lifting heels with barbell across shoulders.'),",,,,,,,,,,,,,,,,,,,189,4,1,Barbell Calf Raises,A standing exercise lifting heels with barbell across shoulders.
Calves,Barbell,Barbell Seated Calf Raise,A seated exercise lifting heels with barbell across knees.,,"('Calves', 'Barbell', 'Barbell Seated Calf Raise', 'A seated exercise lifting heels with barbell across knees.'),",,,,,,,,,,,,,,,,,,,190,4,1,Barbell Seated Calf Raise,A seated exercise lifting heels with barbell across knees.
Calves,Barbell,Barbell Toes Up Calf Raise,A calf raise with toes elevated to target soleus muscle.,,"('Calves', 'Barbell', 'Barbell Toes Up Calf Raise', 'A calf raise with toes elevated to target soleus muscle.'),",,,,,,,,,,,,,,,,,,,191,4,1,Barbell Toes Up Calf Raise,A calf raise with toes elevated to target soleus muscle.
Calves,Barbell,Landmine Calf Raise,A calf raise using landmine apparatus for varied resistance pattern.,,"('Calves', 'Barbell', 'Landmine Calf Raise', 'A calf raise using landmine apparatus for varied resistance pattern.'),",,,,,,,,,,,,,,,,,,,192,4,1,Landmine Calf Raise,A calf raise using landmine apparatus for varied resistance pattern.
Calves,Barbell,Standing Tibialis Raise,An exercise lifting toes up while keeping heels on ground to target anterior tibialis.,,"('Calves', 'Barbell', 'Standing Tibialis Raise', 'An exercise lifting toes up while keeping heels on ground to target anterior tibialis.'),",,,,,,,,,,,,,,,,,,,193,4,1,Standing Tibialis Raise,An exercise lifting toes up while keeping heels on ground to target anterior tibialis.
Calves,Bodyweight,Bodyweight Donkey Calf Raise,A calf raise performed with torso parallel to ground to target gastrocnemius.,,"('Calves', 'Bodyweight', 'Bodyweight Donkey Calf Raise', 'A calf raise performed with torso parallel to ground to target gastrocnemius.'),",,,,,,,,,,,,,,,,,,,194,4,2,Bodyweight Donkey Calf Raise,A calf raise performed with torso parallel to ground to target gastrocnemius.
Calves,Bodyweight,Calf Raises,A basic standing heel raise to develop calf muscles.,,"('Calves', 'Bodyweight', 'Calf Raises', 'A basic standing heel raise to develop calf muscles.'),",,,,,,,,,,,,,,,,,,,195,4,2,Calf Raises,A basic standing heel raise to develop calf muscles.
Calves,Bodyweight,Seated Tibialis Raise,A seated exercise lifting toes up to target anterior tibialis.,,"('Calves', 'Bodyweight', 'Seated Tibialis Raise', 'A seated exercise lifting toes up to target anterior tibialis.'),",,,,,,,,,,,,,,,,,,,196,4,2,Seated Tibialis Raise,A seated exercise lifting toes up to target anterior tibialis.
Calves,Bodyweight,Tip Toe Walking,Walking on toes to develop calf endurance and stability.,,"('Calves', 'Bodyweight', 'Tip Toe Walking', 'Walking on toes to develop calf endurance and stability.'),",,,,,,,,,,,,,,,,,,,197,4,2,Tip Toe Walking,Walking on toes to develop calf endurance and stability.
Calves,Bodyweight,Walking Calf Raises,Performing calf raises while walking for functional calf development.,,"('Calves', 'Bodyweight', 'Walking Calf Raises', 'Performing calf raises while walking for functional calf development.'),",,,,,,,,,,,,,,,,,,,198,4,2,Walking Calf Raises,Performing calf raises while walking for functional calf development.
Calves,Cables,Cable Bar Calve Raise,A calf raise using cable bar attachment for resistance.,,"('Calves', 'Cables', 'Cable Bar Calve Raise', 'A calf raise using cable bar attachment for resistance.'),",,,,,,,,,,,,,,,,,,,199,4,3,Cable Bar Calve Raise,A calf raise using cable bar attachment for resistance.
Calves,Cables,Cable Calve Raise,A calf raise using cable resistance for variable tension.,,"('Calves', 'Cables', 'Cable Calve Raise', 'A calf raise using cable resistance for variable tension.'),",,,,,,,,,,,,,,,,,,,200,4,3,Cable Calve Raise,A calf raise using cable resistance for variable tension.
Calves,Dumbbells,Dumbbell Calf Raise,A standing calf raise while holding dumbbells for added resistance.,,"('Calves', 'Dumbbells', 'Dumbbell Calf Raise', 'A standing calf raise while holding dumbbells for added resistance.'),",,,,,,,,,,,,,,,,,,,201,4,4,Dumbbell Calf Raise,A standing calf raise while holding dumbbells for added resistance.
Calves,Dumbbells,Dumbbell Seated Calf Raise,A seated calf raise with dumbbells on knees for resistance.,,"('Calves', 'Dumbbells', 'Dumbbell Seated Calf Raise', 'A seated calf raise with dumbbells on knees for resistance.'),",,,,,,,,,,,,,,,,,,,202,4,4,Dumbbell Seated Calf Raise,A seated calf raise with dumbbells on knees for resistance.
